"id","provider_name","street_address","city","county","state","zipcode","phone_number","service_type"
"299","BRIDGEWAY INC","2323 Windish Dr","GALESBURG","Knox","IL","61401","309-344-2323","Community Day Services, Community Integrated Living Arrangement Services"
"300","MENTAL HEALTH CENTERS OF CENTRAL ILLINOIS","710 N 8TH ST","SPRINGFIELD","Sangamon","IL","62702","217-525 1064","Community Day Services, Community Integrated Living Arrangement Services"
"301","LARC","19043 WENTWORTH","LANSING","Cook","IL","60438","708-474 1540","Community Day Services, Community Integrated Living Arrangement Services"
"302","THE ARC OF THE QUAD CITIES AREA","4016 9th St","Rock Island","Rock Island","IL","61201","309-786 6474","Community Day Services, Community Integrated Living Arrangement Services"
"303","SPARC","232 BRUNS LANE","SPRINGFIELD","Sangamon","IL","62702","217-793 2100","Community Day Services, Community Integrated Living Arrangement Services"
"304","THE ARC OF IROQUOIS COUNTY","700 East Elm St","WATSEKA","Iroquois","IL","60970","815-432 5288","Community Day Services, Community Integrated Living Arrangement Services"
"305","CHERUBIM DEVELOPMENTAL TRAINING PROGRAM","285 West Loop Road","WHEATON","DuPage","IL","60189","630-715 7278","Community Day Services, Community Integrated Living Arrangement Services"
"306","KASKASKIA WORKSHOP, INC.","299 SWAN AVE P O BOX 1946","CENTRALIA","Marion","IL","62801","618-533 4423","Community Day Services, Community Integrated Living Arrangement Services"
"307","CORNERSTONE SERVICES","777 JOYCE RD","JOLIET","Will","IL","60435","815-727-6666","Community Day Services, Community Integrated Living Arrangement Services"
"308","GOOD SHEPHERD MANOR INC","4129 N. State RTE 1 &17; PO BOX 260","MOMENCE","Kankakee","IL","60954","815-472 3700","Community Day Services, Community Integrated Living Arrangement Services"
"309","DEVELOPMENTAL SERVICES CENTER","1304 W BRADLEY","CHAMPAIGN","Champaign","IL","61821","217-356 9176","Community Day Services, Community Integrated Living Arrangement Services"
"310","PIONEER CENTER FOR HUMAN SERVICES","4031 W. DAYTON ST","MCHENRY","McHenry","IL","60050","815-344-1230","Community Day Services, Community Integrated Living Arrangement Services"
"311","WARREN ACHIEVEMENT CENTER","1220 East 2nd Ave","MONMOUTH","Warren","IL","61642","309-734 3131","Community Day Services, Community Integrated Living Arrangement Services"
"312","PIATT COUNTY MENTAL HEALTH CENTER","1921 N MARKET ST","MONTICELLO","Piatt","IL","61856","217-762 5371","Community Day Services, Community Integrated Living Arrangement Services"
"313","ST COLETTA OF WISCONSIN INC","N4637 COUNTY ROAD Y","JEFFERSON","","WI","53549","920-674 4330","Community Day Services, Community Integrated Living Arrangement Services"
"314","PATHWAY SERVICES UNLIMITED, INC.","1905 WEST MORTON AVE","JACKSONVILLE","Morgan","IL","62650","217-479 2300","Community Day Services, Community Integrated Living Arrangement Services"
"315","ELM CITY REHABILITATION CENTER","1314 W WALNUT","JACKSONVILLE","Morgan","IL","62650","217-245 9504","Community Day Services, Community Integrated Living Arrangement Services"
"316","CCAR INDUSTRIES","1530 Lincoln Ave","CHARLESTON","Coles","IL","61920","217-348 0127","Community Day Services, Community Integrated Living Arrangement Services"
"317","ORCHARD VILLAGE","7660 Gross Point Road","SKOKIE","Cook","IL","60077","847-967 1800","Community Day Services, Community Integrated Living Arrangement Services"
"318","ASPIRE OF ILLINOIS","1815 SOUTH WOLF ROAD","Hillside","Cook","IL","60162","708-236 0979","Community Day Services, Community Integrated Living Arrangement Services"
"319","WASHINGTON COUNTY VOCATIONAL WORKSHOP","781 Holzhauer Dr PO Box 273","NASHVILLE","Washington","IL","62263","618-327 4461","Community Day Services, Community Integrated Living Arrangement Services"
"320","TAZEWELL COUNTY RESOURCE CENTER, INC.","21310 Illinois Rt #9","TREMONT","Tazewell","IL","61568","309-347 7148","Community Day Services, Community Integrated Living Arrangement Services"
"321","OUR DIRECTIONS INC","PO BOX 2084","HERRIN","Williamson","IL","62948","618-988-8178","Community Day Services, Community Integrated Living Arrangement Services"
"322","COMMUNITY SUPPORT SYSTEM","618 W MAIN ST","TEUTOPOLIS","Effingham","IL","62401","217-705 4300","Community Day Services, Community Integrated Living Arrangement Services"
"323","CHRISTIAN COUNTY MENTAL HEALTH ASSOCIATION","PO BOX 438 707 MCADAM DR","TAYLORVILLE","Christian","IL","62568","217-824 9675","Community Day Services, Community Integrated Living Arrangement Services"
"324","COLEMAN TRI COUNTY SERVICES","PO BOX 869 - 22 Veterans Drive","HARRISBURG","Saline","IL","62946","618-252 0275","Community Day Services, Community Integrated Living Arrangement Services"
"325","COMMUNITY SUPPORT SERVICES INC","9021 OGDEN AVE","BROOKFIELD","Cook","IL","60513","708-354-4547","Community Day Services, Community Integrated Living Arrangement Services"
"326","SHELBY COUNTY COMMUNITY SERVICES INC","1810 W S 3RD STREET","SHELBYVILLE","Shelby","IL","62565","217-774 5587","Community Day Services, Community Integrated Living Arrangement Services"
"327","COMMUNITY LINK INC","1665 N 4TH ST, PO BOX 157","BREESE","Clinton","IL","62230","618-526-8800","Community Day Services, Community Integrated Living Arrangement Services"
"328","TRADE INDUSTRIES","1020 E. Randolph St P.O. Box 70,","MCLEANSBORO","Hamilton","IL","62859","618-643 4321","Community Day Services, Community Integrated Living Arrangement Services"
"329","BLUE ISLAND CITIZENS FOR PERSONS WITH DEVELOPMENTAL DISABILITIES","2155 Broadway","BLUE ISLAND","Cook","IL","60406","708-389 6578","Community Day Services, Community Integrated Living Arrangement Services"
"330","ABILITIES PLUS, INC.","1100 N East ST","KEWANEE","Henry","IL","61443","309-852 4626","Community Day Services, Community Integrated Living Arrangement Services"
"331","MOSAIC OF ILLINOIS","220 N LAFAYETTE ST","MACOMB","McDonough","IL","61455","309-837 5506","Community Day Services, Community Integrated Living Arrangement Services"
"332","CENTERSTONE OF ILLINOIS INC","902 W MAIN STREET","WEST FRANKFORT","Franklin","IL","62896","618-937 6483","Community Day Services, Community Integrated Living Arrangement Services"
"333","ARROWLEAF","PO BOX 759 125 NORTH MARKET","GOLCONDA","Pope","IL","62938","618-658 2611","Community Day Services, Community Integrated Living Arrangement Services"
"334","SPECIALIZED TRAINING FOR ADULT REHABILITATION","20 North 13st Street, P.O. BOX 938","MURPHYSBORO","Jackson","IL","62966","618-687 2378","Community Day Services, Community Integrated Living Arrangement Services"
"335","MARCFIRST","2000 Jacobssen Drive","NORMAL","McLean","IL","61761","309-451 8888","Community Day Services, Community Integrated Living Arrangement Services"
"336","FAYCO ENTERPRISES, INC.","1313 SUNSET DR","VANDALIA","Fayette","IL","62471","618-283 0638","Community Day Services, Community Integrated Living Arrangement Services"
"337","MILESTONE INC","4060 MCFARLAND RD","LOVES PARK","Winnebago","IL","61111","815-654 6100","Community Day Services, Community Integrated Living Arrangement Services"
"338","OAK-LEYDEN DEVELOPMENT SERVICE","411 W CHICAGO AVE","OAK PARK","Cook","IL","60302","708-524-1050","Community Day Services, Community Integrated Living Arrangement Services"
"339","PROGRESSIVE HOUSING INC","20180 GOVERNORS DRIVE SUITE 300","OLYMPIA FIELDS","Cook","IL","60461","708-283 1530","Community Day Services, Community Integrated Living Arrangement Services"
"340","CLEARBROOK","1835 WEST CENTRAL ROAD","ARLINGTON HEIGHTS","Cook","IL","60005","847-870 7711","Community Day Services, Community Integrated Living Arrangement Services"
"341","ACTIVE VISIONS INC","5721 N. Central","CHICAGO","Cook","IL","60646","773-594 0921","Community Day Services, Community Integrated Living Arrangement Services"
"342","OTTAWA FRIENDSHIP HOUSE","1718 N 2525 RD","OTTAWA","LaSalle","IL","61350","815-434 0737","Community Day Services, Community Integrated Living Arrangement Services"
"343","STREATOR UNLIMITED INC","305 N Sterling St PO Box 706","STREATOR","Livingston","IL","61364","815-673 5574","Community Day Services, Community Integrated Living Arrangement Services"
"344","MOULTRIE COUNTY BEACON, INC.","401 W WATER","SULLIVAN","Moultrie","IL","61951","217-728 7396","Community Day Services, Community Integrated Living Arrangement Services"
"345","OPPORTUNITY HOUSE INC","357 N. CALIFORNIA ST","SYCAMORE","DeKalb","IL","60178","815-895 5108","Community Day Services, Community Integrated Living Arrangement Services"
"346","GARDEN CENTER SERVICES","10444 S Kedzie","Chicago","Cook","IL","60655","708-560-4400","Community Day Services, Community Integrated Living Arrangement Services"
"347","HABILITATIVE SYSTEMS, INC.","415 S KILPATRICK","CHICAGO","Cook","IL","60644","773-261 2252","Community Day Services, Community Integrated Living Arrangement Services"
"348","CTF ILLLINOIS","18230 Orland Parkway","Orland Park","Cook","IL","60467","708-429-1260","Community Day Services, Community Integrated Living Arrangement Services"
"349","LUTHERAN SOCIAL SERVICES OF ILLINOIS","1001 E Touhy Avenue Suite 50","Des Plaines","Cook","IL","60018","847-390-1434","Community Day Services, Community Integrated Living Arrangement Services"
"350","REHABILITATION AND VOCATIONAL EDUCATION PROGRAM","214 W DAVIE STREET","ANNA","Union","IL","62906","618-833-8525","Community Day Services, Community Integrated Living Arrangement Services"
"351","PARK LAWN SCHOOL and ACTIVITY","10833 S LAPORTE AVE","OAK LAWN","Cook","IL","60453","708-425 3344","Community Day Services, Community Integrated Living Arrangement Services"
"352","GATEWAY SERVICES, INC.","406 S GOSSE BLVD","PRINCETON","Bureau","IL","61356","815-875 4548","Community Day Services, Community Integrated Living Arrangement Services"
"353","AUSTIN SPECIAL CHICAGO","5318 N Elstone Ave","CHICAGO","Cook","IL","60630","773-282 9992","Community Day Services, Community Integrated Living Arrangement Services"
"354","SEARCH DEVELOPMENTAL CENTER","1925 N CLYBOURN AVE STE 200","CHICAGO","Cook","IL","60614","773-305 5000","Community Day Services, Community Integrated Living Arrangement Services"
"355","FIVE STAR INDUSTRIES, INC.","1308 WELLS RD","DUQUOIN","Perry","IL","62832","618-542 5421","Community Day Services, Community Integrated Living Arrangement Services"
"356","INDIVIDUAL ADVOCACY GROUP INC","1289 WINDHAM PARKWAY","ROMEOVILLE","Will","IL","60446","630-759 0201","Community Day Services, Community Integrated Living Arrangement Services"
"357","KREIDER SERVICES INC.","500 ANCHOR RD P O BOX 366","DIXON","Lee","IL","61021","815-288 6691","Community Day Services, Community Integrated Living Arrangement Services"
"358","FUTURES UNLIMITED INC","210 E TORRANCE AVE","PONTIAC","Livingston","IL","61764","815-842 1122","Community Day Services, Community Integrated Living Arrangement Services"
"359","HUMAN RESOURCES CENTER OF EDGAR AND CLARK COUNTIES","PO Box 1118 753 E COURT ST","PARIS","Edgar","IL","61944","217-465-4118","Community Day Services, Community Integrated Living Arrangement Services"
"360","SOUTH CHICAGO PARENTS and FRIEND","10241 S COMMERCIAL AVE","CHICAGO","Cook","IL","60617","773-734 2222","Community Day Services, Community Integrated Living Arrangement Services"
"361","HORIZON HOUSE OF IL VALLEY INC","2000 PLANK RD","PERU","LaSalle","IL","61354","815-223 4488","Community Day Services, Community Integrated Living Arrangement Services"
"362","LESTER AND ROSALIE ANIXTER CENTER","1945 W Wilson Ave, Ste 3000","CHICAGO","Cook","IL","60640","773-571-0238","Community Day Services, Community Integrated Living Arrangement Services"
"363","MACON RESOURCES, INC","2121 HUBBARD AVE","DECATUR","Macon","IL","62526","217-875-1910","Community Day Services, Community Integrated Living Arrangement Services"
"364","COMMUNITY WORKSHOP and TRAINING","3215 N UNIVERSITY","PEORIA","Peoria","IL","61604","309-686 3300","Community Day Services, Community Integrated Living Arrangement Services"
"365","CROSSPOINT HUMAN SERVICES","210 AVENUE C","DANVILLE","Vermilion","IL","61832","217-442-3200","Community Day Services, Community Integrated Living Arrangement Services"
"366","LITTLE FRIENDS, INC","27555 DIEHL","Warrenville","DuPage","IL","60555","630-355-6533","Community Day Services, Community Integrated Living Arrangement Services"
"367","WILLIAM M BEDELL ACHIEVEMENT","P O BOX 349 - 400 S Main","WOOD RIVER","Madison","IL","62095","618-251 2175","Community Day Services, Community Integrated Living Arrangement Services"
"368","MISERICORDIA HOME","6300 N RIDGE","CHICAGO","Cook","IL","60660","773-973-6300","Community Day Services, Community Integrated Living Arrangement Services"
"369","HELPING HAND CENTER","9649 W 55TH ST","COUNTRYSIDE","Cook","IL","60525","708-352 3580","Community Day Services, Community Integrated Living Arrangement Services"
"370","BROADSTEP ACADEMY-IL INC","701 W. Lamm Rd.","Freeport","Stephenson","IL","61032","617-571-2136","Community Day Services, Community Integrated Living Arrangement Services"
"371","LAWRENCE CRAWFORD ASSOC FOR EXCEPTIONAL CITIZENS","905 W MULBERRY","ROBINSON","Crawford","IL","62454","618-546 5625","Community Day Services, Community Integrated Living Arrangement Services"
"372","KESHET","610 Academy Dr","NORTHBROOK","Cook","IL","60062","847-205 1234","Community Day Services, Community Integrated Living Arrangement Services"
"373","MALCOLM EATON ENTERPRISES","570 W LAMM RD","FREEPORT","Stephenson","IL","61032","815-235 7181","Community Day Services, Community Integrated Living Arrangement Services"
"374","TRANSITIONS OF WESTERN ILLINOIS","4409 Maine St","QUINCY","Adams","IL","62305","217-223-0413","Community Day Services, Community Integrated Living Arrangement Services"
"375","EL VALOR CORPORATION","1850 W 21ST ST","CHICAGO","Cook","IL","60608","312-666-4511","Community Day Services, Community Integrated Living Arrangement Services"
"376","ROCK RIVER VALLEY SELF HELP ENTERPRISES","2300 W. LE FEVRE ROAD","STERLING","Whiteside","IL","61081","815-626 3115","Community Day Services, Community Integrated Living Arrangement Services"
"377","EPIC","1913 W Townline Rd","Peoria","Peoria","IL","61615","309-691-3800","Community Day Services, Community Integrated Living Arrangement Services"
"378","UNITED CEREBRAL PALSY SEGUIN OF GREATER CHICAGO","3100 South Central Ave","CICERO","Cook","IL","60804","708-863-3803","Community Day Services, Community Integrated Living Arrangement Services"
"379","ASSOCIATION FOR INDIVIDUAL DEVELOPMENT","309 W New Indian Trail Court","AURORA","Kane","IL","60506","630-966 4000","Community Day Services, Community Integrated Living Arrangement Services"
"380","ESPERANZA COMMUNITY SERVICES","520 N MARSHFIELD AVE","CHICAGO","Cook","IL","60622","312-243 6097","Community Day Services, Community Integrated Living Arrangement Services"
"381","A STEP FORWARD INC.","5310 E WILLIAMS ST","DECATUR","Macon","IL","62521","217-422 6361","Community Day Services, Community Integrated Living Arrangement Services"
"382","SERTOMA CENTRE INC","4343 W 123RD ST","ALSIP","Cook","IL","60803","708-371 9700","Community Day Services, Community Integrated Living Arrangement Services"
"383","NEW STAR INC","1005 W END AVE","CHICAGO HEIGHTS","Cook","IL","60611","708-755 8030","Community Day Services, Community Integrated Living Arrangement Services"
"384","CAREER DEVELOPMENT CENTER","2110 W. Deleware","FAIRFIELD","Wayne","IL","62837","618-842 4019","Community Day Services, Community Integrated Living Arrangement Services"
"385","ENVISION UNLIMITED","8 S MICHIGAN AVE SUITE 1700","CHICAGO","Cook","IL","60603","312-346-6230","Community Day Services, Community Integrated Living Arrangement Services"
"386","ADA S MCKINLEY COMMUNITY SERVICES INC","1359 W Washington Boulevard","CHICAGO","Cook","IL","60607","312-385-2000","Community Day Services, Community Integrated Living Arrangement Services"
"387","ASSOCIATION FOR THE DISABLED IN WOODFORD COUNTY","200 Moody St","Eureka","Woodford","IL","61530","309-467 3015","Community Day Services, Community Integrated Living Arrangement Services"
"388","LITTLE CITY FOUNDATION","1760 W Algonquin Rd","Palatine","Cook","IL","60067","847-358-5510","Community Day Services, Community Integrated Living Arrangement Services, Community Living Facility Services"
"389","LAMBS FARM","14245 W Rockland Rd","LIBERTYVILLE","Lake","IL","60048","847-362 4636","Community Day Services, Community Integrated Living Arrangement Services, Community Living Facility Services"
"390","GLENKIRK","3504 COMMERCIAL AVE.","NORTHBROOK","Cook","IL","60062","847-272 5111","Community Day Services, Community Integrated Living Arrangement Services, Community Living Facility Services"
"391","SHORE COMMUNITY SERVICES, INC","8350 LARAMIE AVE","SKOKIE","Cook","IL","60077","847-982 2030","Community Day Services, Community Integrated Living Arrangement Services, Community Living Facility Services"
"392","AVENUES TO INDEPENDENCE","515 Busse Hwy","PARK RIDGE","Cook","IL","60068","847-292 0870","Community Day Services, Community Integrated Living Arrangement Services, Community Living Facility Services"
"393","ST MARY OF PROVIDENCE SCHOOL","4200 N Austin","CHICAGO","Cook","IL","60634","773-545 8300","Community Day Services, Community Living Facility Services"
"394","CRA INC","816 Wyatt Ave","Lincoln","Logan","IL","62656","217-735-3352","Community Integrated Living Arrangement Services"
"395","COMMUNITY REGIONAL SERVICES","17843 Torrence Ave Ste 1E","Lansing","Cook","IL","60438","(708) 673-7564","Community Integrated Living Arrangement Services"
"396","DESTINY HOUSING","244 Main Street, 2nd Fl","Park Forest","Cook","IL","60466","708-663-4910","Community Integrated Living Arrangement Services"
"397","HEROES OF THE GAME, INC","2022 JACKSON STREET","Beloit","","WI","53511","815-262 0699","Community Integrated Living Arrangement Services"
"398","GLEN BROOK OF VIENNA, INC","801 NORTH FIRST ST.","VIENNA","Johnson","IL","62995","618-658-2005","Community Integrated Living Arrangement Services"
"399","DIVINE TOUCH CILA HOMES INC","18225 Burnham Ave, Suite B2","Lansing","Cook","IL","60438","773-430-8668","Community Integrated Living Arrangement Services"
"400","AZZ Kicking Machine LLC dba Inspire Community Homes LLC","4007 Memorial Dr","Belleville","St. Clair","IL","62226","702-875-1766","Community Integrated Living Arrangement Services"
"401","ILLINOIS MENTOR COMMUNITY SERVICES INC","179 E Bethel Drive","Bourbonnais","Kankakee","IL","60914","815-464-3239","Community Integrated Living Arrangement Services"
"402","SAZE COMMUNITY SERVICES INC","2200 Hicks Road Suite 101","Rolling Meadows","Cook","IL","60008","847-496-7558","Community Integrated Living Arrangement Services"
"403","GENTLE HANDS REHABILITATION, INC","5319 SAWGRASS AVENUE","RICHTON PARK","Cook","IL","60471","708-704 9773","Community Integrated Living Arrangement Services"
"404","REDEMPTA SERVICES, NFP","PO BOX 553","RICHTON PARK","Cook","IL","60471","708-253-3128","Community Integrated Living Arrangement Services"
"405","LIVING IN A FAMILY ENVIRONMENT MANAGEMENT CORP","3136 MYERS LANE","MAKANDA","Jackson","IL","62958","618-967 7106","Community Integrated Living Arrangement Services"
"406","AT HOME MISSION, NFP","1217 Tyrell Ave","Park Ridge","Cook","IL","60068","224-585-3772","Community Integrated Living Arrangement Services"
"407","LIBERTY ENTERPRISES","1304 WEST MACK AVE","MARION","Williamson","IL","62959","618-519-0031","Community Integrated Living Arrangement Services"
"408","JOSEPH REHABILITATION CENTER","21209 SHANNON AVENUE","MATTESON","Cook","IL","60433","708-720-3315","Community Integrated Living Arrangement Services"
"409","T.O.C. INCORPORATED OF ILLINOIS","4709 ABBEY LN","MATTESON","Cook","IL","60443","708-710-0640","Community Integrated Living Arrangement Services"
"410","VICTORY HOMES","20139 Driftwood Ave","Lynwood","Cook","IL","60411","773-507-6379","Community Integrated Living Arrangement Services"
"411","BARTLETT LEARNING CENTER","3s570 Warren Ave","Warrenville","DuPage","IL","60555","630-393-7802","Community Integrated Living Arrangement Services"
"412","KARRIEMS DEV SVCS INC","15501 S KEDZIE","MARKHAM","Cook","IL","60428","708-212-3520","Community Integrated Living Arrangement Services"
"413","LIGHT OF HOPE","22858 Millard Ave","RICHTON PARK","Cook","IL","60471","773-759-1297","Community Integrated Living Arrangement Services"
"414","GOLDIE B FLOBERG CENTER","4960 E State Street #300","Rockford","Winnebago","IL","61108","815-708-7479","Community Integrated Living Arrangement Services"
"415","Benson, Trinette DBA Gifted Hands 5 LLC","4515 Camden Ct","Richton Park","Cook","IL","60471","708-257-1587","Community Integrated Living Arrangement Services"
"416","SUPPORT SYSTEMS AND SERVICES INC","5801 Mt Pleasant Ln","Belleville","St Clair","IL","62223","618-489-5025","Community Integrated Living Arrangement Services"
"417","BREATH OF LIFE PROFESSIONAL SERVICES, NFP","1789 35th Street, #6311","OAK BROOK","DuPage","IL","60523","708-715-8550","Community Integrated Living Arrangement Services"
"418","APOSTOLIC CHRISTIAN LIFEPOINTS, INC","2073 Veterans Road","Morton","Tazewell","IL","61550","309-266 9781","Community Integrated Living Arrangement Services"
"419","Illinois Housing and Disability Services Inc","710 E Ogden Ave Ste 160","NAPERVILLE","DuPage","IL","60563","630- 470-9668","Community Integrated Living Arrangement Services"
"420","ROYAL LIVING CENTER, INC","200 SOUTH 9TH","NEW BADEN","Clinton","IL","62265","618-588 7295","Community Integrated Living Arrangement Services"
"421","SOUTHERN ILLINOIS COMMUNITY SUPPORT SERVICES D.B.A. MY LIFE MY HOME","215 E ILLINOIS ST;  P.O. Box 19","NEW BADEN","Clinton","IL","62265","618-588-7136","Community Integrated Living Arrangement Services"
"422","DIANE HOME CARE INC","7800 N Milwaukee Ave","Niles","Cook","IL","60714","847-675 6093","Community Integrated Living Arrangement Services"
"423","PARENTS and FRIENDS OF THE CMNTY","932 Kernon Drive","BELLEVILLE","St Clair","IL","62223","618-489-1133","Community Integrated Living Arrangement Services"
"424","COMPASSIONATE LIVING HOME INC","1730 Park Street, Suite 214","Naperville","DuPage","IL","60563","630-430-2057","Community Integrated Living Arrangement Services"
"425","RESIDENTIAL OPTIONS INC","4 Emmie L Kaus Ln","Alton","Madison","IL","62003","618-465 0044","Community Integrated Living Arrangement Services"
"426","AURORA HOME CARE INC.","3100 Dundee Road, Suite 401","NORTHBROOK","Cook","IL","60062","847-559 1222","Community Integrated Living Arrangement Services"
"427","CENTER ON DEAFNESS","3444 DUNDEE ROAD","NORTHBROOK","Cook","IL","60062","847-559 0110","Community Integrated Living Arrangement Services"
"428","FAMILIES BUILDING DREAMS","3100 Dundee Road, Suite 402","NORTHBROOK","Cook","IL","60062","847-272 2222","Community Integrated Living Arrangement Services"
"429","KRYPTON, INC","110 Florsheim Drive","Anna","Union","IL","62906","618-524-3444","Community Integrated Living Arrangement Services"
"430","EPILEPSY FOUNDATION OF GREATER SOUTHERN ILLINOIS","3515 NORTH BELT WEST","BELLEVILLE","St Clair","IL","62226","618-236 2181","Community Integrated Living Arrangement Services"
"431","LINCOLN SQUARE INC","110 Florsheim Drive","Anna","Union","IL","62906","618-833-1214","Community Integrated Living Arrangement Services"
"432","FIRST ZION HOMES","2246 GLENWOOD DYER RD","LYNWOOD","Cook","IL","60411","708-251-8899","Community Integrated Living Arrangement Services"
"433","CHRISTIAN SOCIAL SERVICES OF IL DBA CARITAS FAMILY SOLUTIONS","8601 W. MAIN ST., STE 201","BELLEVILLE","St Clair","IL","62223","618-213-8700","Community Integrated Living Arrangement Services"
"434","ComWell","10257 State Rt 3","Red Bud","Randolph","IL","62278","618-282-6233","Community Integrated Living Arrangement Services"
"435","CIRCLE OF SUPPORT INC","1411 PETERSON AVE, Ste 103","PARK RIDGE","Cook","IL","60068","847-292 8523","Community Integrated Living Arrangement Services"
"436","COVENANT ENABLING RESIDENCES OF ILLINOIS","15841 TERRACE DR","OAK FOREST","Cook","IL","60452","708-687 2038","Community Integrated Living Arrangement Services"
"437","KANKAKEE COUNTY TRAINING CENTER","595 North Industrial Drive","BRADLEY","Kankakee","IL","60915","815-939-9980","Community Integrated Living Arrangement Services"
"438","Community Connection and Services","2405 Fourlakes Dr.","Belleville","SAINT CLAIR","IL","62220","(618) 980-3117","Community Integrated Living Arrangement Services"
"439","COMPASSION CILA HOMES, INC.","304 SPRINGFIELD STREET","PARK FOREST","Cook","IL","60466","773-419 2211","Community Integrated Living Arrangement Services"
"440","TDL GROUP, INC","PO Box 814","MOUNT VERNON","Jefferson","IL","62864","618-244 7701","Community Integrated Living Arrangement Services"
"441","CARING HANDS CILA OF IL, INC.","430 Wildwood Dr","PARK FOREST","Cook","IL","60466","708-506 3589","Community Integrated Living Arrangement Services"
"442","SHAMROCK SERVICES GROUP","13023 N Shiloh DrPO Box 814","MOUNT VERNON","Jefferson","IL","62864","618-927-0290","Community Integrated Living Arrangement Services"
"443","BROOKE HILL MANAGEMENT INC","PO Box 295 1420 W 3rd St","MT CARMEL","Wabash","IL","62863","618-262 6538","Community Integrated Living Arrangement Services"
"444","WABASH AREA VOCATIONAL INC","1420 W 3rd St, PO Box 487","MT CARMEL","Wabash","IL","62863","618-262 8614","Community Integrated Living Arrangement Services"
"445","HOMES OF HOPE INC","705 EAST LINCOLN ST, SUITE 313","NORMAL","McLean","IL","61761","309-862 0607","Community Integrated Living Arrangement Services"
"446","R and J ENTERPRISES COUNTRY LIVING INC","221 EAST AVE","ANNA","Union","IL","62906","618-833 7418","Community Integrated Living Arrangement Services"
"447","COMMUNITY INTEGRATED LIVING INC. d/b/a CIL, Inc.","201 E Chestnut St","ANNA","Union","IL","62906","618-833-2500","Community Integrated Living Arrangement Services"
"448","HUMAN SUPPORT SERVICES","988 N. Illinois Route 3","WATERLOO","Monroe","IL","62298","618-939 4444","Community Integrated Living Arrangement Services"
"449","INDEPENDENT LIVING SERVICES INC","156 E VIENNA STREET","ANNA","Union","IL","62906","618-833-9094","Community Integrated Living Arrangement Services"
"450","TASH INC","PO Box 338 - 1303 N 7th Street","MURPHYSBORO","Jackson","IL","62966","618-867-3881","Community Integrated Living Arrangement Services"
"451","Shalom Manor Care, Inc","8147 Seminole Ct","Orland Park","Cook","IL","60462","(312) 927-0937","Community Integrated Living Arrangement Services"
"452","HAWKINS CILA CARE CORPORATION","20230 Mohawk Trail","Olympia Fields","Cook","IL","60461","708-250 0603","Community Integrated Living Arrangement Services"
"453","Inspire Greatness Within Inc","2490 GLEN EAGLES DR","Olympia Fields","Cook","IL","60461","630-660-6374","Community Integrated Living Arrangement Services"
"454","DUBOIS-DOUGLAS CENTRES","4747 LINCOLN MALL DRIVE, Suite 301","Mateson","Cook","IL","60443","708- 283 0886","Community Integrated Living Arrangement Services"
"455","A TURNING POINT FOR LIFE OF ILLINOIS","4212 207th Street","Matteson","Cook","IL","60443","708-414-6143","Community Integrated Living Arrangement Services"
"456","BETHSHAN ASSOCIATION","12927 S MONITOR AVE","PALOS HEIGHTS","Cook","IL","60463","708-371 0800","Community Integrated Living Arrangement Services"
"457","DIVINE CENTER, INC","513 Marquette Ave.","Calumet City","Cook","IL","60409","773-721-6535","Community Integrated Living Arrangement Services"
"458","HOPE SCHOOL","15 East Hazel Dell Lane","SPRINGFIELD","Sangamon","IL","62712","217-953-0894","Community Integrated Living Arrangement Services"
"459","DEVORA'S DREAM INC","2500 Violet St","Glenview","Cook","IL","60026","224-558 4509","Community Integrated Living Arrangement Services"
"460","Abundant Possibilities and Services, LLC","208 Pine Dale Drive","Swansea","Saint Clair","IL","62226","(618) 225-2896","Community Integrated Living Arrangement Services"
"461","PACTT LEARNING CENTER","7101 N GREENVIEW AVE.","CHICAGO","Cook","IL","60626","773-338 9102","Community Integrated Living Arrangement Services"
"462","TRI-CARE INC","9208 S Colfax","CHICAGO","Cook","IL","60617","773-375 6146","Community Integrated Living Arrangement Services"
"463","BEVERLY HILLS HOME CARE INC","10601 S Longwood Dr.","CHICAGO","Cook","IL","60643","773-457-6005","Community Integrated Living Arrangement Services"
"464","SOLEDAD SOCIAL SERVICES CORP","6059 W Belmont Ave","CHICAGO","Cook","IL","60634","773-481-9096","Community Integrated Living Arrangement Services"
"465","SKYSTAR RESIDENTIAL SERVICES","406 E DOUGLAS","DESOTO","Jackson","IL","62924","618-867 3188","Community Integrated Living Arrangement Services"
"466","RIMLAND SERVICES NFP","1101 Gregory St","Des Plaines","Cook","IL","60016","847-328 8326","Community Integrated Living Arrangement Services"
"467","FAMILY ASSOCIATION PLUS","15746 VINE","HARVEY","Cook","IL","60426","708-473 6420","Community Integrated Living Arrangement Services"
"468","NU-CARE INC","19150 S KEDZIE AVE","Flossmoor","Cook","IL","60422","708-922 2111","Community Integrated Living Arrangement Services"
"469","ALPHA OMEGA CONSULTING INC","805 East Johns Ave","DECATUR","Macon","IL","62521","217-422-4725","Community Integrated Living Arrangement Services"
"470","PATTERSON HOUSE INC","636 W. IMBODEN DRIVE P.O. BOX 25527","DECATUR","Macon","IL","62525","217-422 6510","Community Integrated Living Arrangement Services"
